path	sentence
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/654.wav	yesya arwămda awdamda».
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/693.wav	"Tăryemhsirŋā anih,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/756.wav	nyeriq.»
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1521.wav	Miniko laănăkoda ŋanih nyanănda ai. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/68.wav	Ti raciyaăna maq. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1444.wav	ŋămgǣǣrtărimboy. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/342.wav	  Siirtya maqniwh: 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/803.wav	tyaănyaŋi nisyǎ mih tiki muŋgoh pyayq tiki syudbyako lăbtǣyh myunya ŋămgǣǣw yar sonyoq.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/352.wav	 maănda maănda nyana padda tari(tǣri) labtorŋa.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1420.wav	"«ălcoqlǣr ti, "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/405.wav	tyuku manʹ ancyerh ilyedmh tyedah. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/860.wav	«Nyuml ŋǣdakǣ̄».
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1097.wav	"tyeda ŋumdămih niŋgăanih,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/738.wav	nyudya ăbimh panătă̌ta ŋudah wǣta nyǎqămaqda.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1237.wav	Wǣy syudbyar myattyuŋow:
