path	sentence
/root/repos/dli_del/data/wav_split_gold/654.wav	yesya arwămda awdamda».
/root/repos/dli_del/data/wav_split_gold/693.wav	"Tăryemhsirŋā anih,"
/root/repos/dli_del/data/wav_split_gold/756.wav	nyeriq.»
/root/repos/dli_del/data/wav_split_gold/1521.wav	Miniko laănăkoda ŋanih nyanănda ai. 
/root/repos/dli_del/data/wav_split_gold/68.wav	Ti raciyaăna maq. 
/root/repos/dli_del/data/wav_split_gold/1444.wav	ŋămgǣǣrtărimboy. 
/root/repos/dli_del/data/wav_split_gold/342.wav	  Siirtya maqniwh: 
/root/repos/dli_del/data/wav_split_gold/803.wav	tyaănyaŋi nisyǎ mih tiki muŋgoh pyayq tiki syudbyako lăbtǣyh myunya ŋămgǣǣw yar sonyoq.
/root/repos/dli_del/data/wav_split_gold/352.wav	 maănda maănda nyana padda tari(tǣri) labtorŋa.
/root/repos/dli_del/data/wav_split_gold/1420.wav	"«ălcoqlǣr ti, "
/root/repos/dli_del/data/wav_split_gold/405.wav	tyuku manʹ ancyerh ilyedmh tyedah. 
/root/repos/dli_del/data/wav_split_gold/860.wav	«Nyuml ŋǣdakǣ̄».
/root/repos/dli_del/data/wav_split_gold/1097.wav	"tyeda ŋumdămih niŋgăanih,"
/root/repos/dli_del/data/wav_split_gold/738.wav	nyudya ăbimh panătă̌ta ŋudah wǣta nyǎqămaqda.
/root/repos/dli_del/data/wav_split_gold/1237.wav	Wǣy syudbyar myattyuŋow:
/root/repos/dli_del/data/wav_split_gold/437.wav	paryeŋodah arădh nyabi ǣw yaŋgoda.
/root/repos/dli_del/data/wav_split_gold/1635.wav	Ti laanakoni pirda. 
/root/repos/dli_del/data/wav_split_gold/1388.wav	"Mănʹ ănmi anā anih nyudyercʹ anada maqniwq măncyaw yada ăyadmh,"
/root/repos/dli_del/data/wav_split_gold/1312.wav	Maqniwh:
/root/repos/dli_del/data/wav_split_gold/509.wav	"pulita yolcʹmăna maqniwq yah ŋilh lumbădanh sǣywi,"
/root/repos/dli_del/data/wav_split_gold/928.wav	"nyudyaawmh nyǎqămsadăwā, "
/root/repos/dli_del/data/wav_split_gold/445.wav	Wadyetin?
/root/repos/dli_del/data/wav_split_gold/1681.wav	" A Warңǣ, warңǣ? "
/root/repos/dli_del/data/wav_split_gold/121.wav	Tika(ko)cyai ŋănih măntǣyq. 
/root/repos/dli_del/data/wav_split_gold/1675.wav	Ti. 
/root/repos/dli_del/data/wav_split_gold/823.wav	"Tiki, tiki ŋăcyekǣr maqniwq mi,"
/root/repos/dli_del/data/wav_split_gold/1222.wav	"syoǒnda mǣira anih ŋulih onyedaănda, "
/root/repos/dli_del/data/wav_split_gold/1143.wav	yolʹcyey mǣyraqnidawq.  
/root/repos/dli_del/data/wav_split_gold/1158.wav	"«Mǣmi tyedah mǣqyaq,"
/root/repos/dli_del/data/wav_split_gold/836.wav	Ti orkih piruwna anyena ŋăcyekǣŋǣ ǣya.
/root/repos/dli_del/data/wav_split_gold/1596.wav	"Luciq, luciq anh siңǣy tyetǣy oramdaңǣy Salyeyakoyaqyeyңǣy ңilanda pyawidowңǣy taңi sǣlanaңǣy nyarmye lucidaңǣy lucandow anh siq. "
/root/repos/dli_del/data/wav_split_gold/736.wav	Tikimh nămdăăwa siqiw ăbir nyoh simh pida ǣqnidaqamh. 
/root/repos/dli_del/data/wav_split_gold/637.wav	Maqniwh: «Syanh tărcyadmh nidmh ŋǣŋguh».
/root/repos/dli_del/data/wav_split_gold/150.wav	"ti tʃtob tanyana pon' mǣŋguwa"" koralʹ mǣcʹ tara""."
/root/repos/dli_del/data/wav_split_gold/139.wav	"Lucid yada to""."
/root/repos/dli_del/data/wav_split_gold/193.wav	Tikaad ti ŋani ŋob' tim' oni'  
/root/repos/dli_del/data/wav_split_gold/660.wav	"Ti laănakor,"
/root/repos/dli_del/data/wav_split_gold/778.wav	Numh ŋǣryoyma. 
/root/repos/dli_del/data/wav_split_gold/408.wav	Nyonda si ŋanih tăqăyalʹnyah ŋǣwi. 
/root/repos/dli_del/data/wav_split_gold/196.wav	owǣmi'.
/root/repos/dli_del/data/wav_split_gold/1167.wav	"Taslaăya ŋobhyootah,"
/root/repos/dli_del/data/wav_split_gold/996.wav	Săbye ponh ninih yadh maqniwq syudbyako mandyabǣ(manyabǣ).
