,Unnamed: 0,index,start,end,transcription,source,lang,full_path_infile,full_path_outfile,log_file_name,recognized
0,0,0,4.26,7.113,"Myaryosiwtina,",es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/0.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/0.log,laːraʃiukim
1,1,1,7.1160000000000005,9.642,sawanyeǣǣy.,es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/1.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/1.log,swəɜn
2,2,2,16.637999999999998,19.785,"Padaniyutʃitʹq,",es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/2.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/2.log,azaniːuːtʃit
3,3,3,19.787,22.974,piryeyesyadatănya.,es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/3.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/3.log,piːriːjeʃazaːtaɲ
4,4,4,94.893,97.867,"Săwawnamacraaa,",es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/4.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/4.log,wna5tuːəɜtsnz
5,5,5,98.555,100.494,"maciŋamaciŋa,",es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/5.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/5.log,maːzanlarmaːzə
6,6,6,100.497,103.335,"săwawnamacampii,",es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/6.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/6.log,sɑu5nəɜmɑ5ɹəɜnpi5
7,7,7,103.335,106.628,ŋokawnamac-imacampi.,es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/7.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/7.log,muːkonampazimazampi
8,8,8,106.928,111.257,Ʃamyanmac-yammaldambi..,es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/8.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/8.log,ʃaːmenuːzimaːlzʌnpi
9,9,9,111.684,113.94,"Maraŋgaŋǣya,",es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/9.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/9.log,mʌrʌŋɡʌe
